Amount,Collateral,CustomerID,EndDate,InterestRate,LoanID,LoanType,PaymentFrequency,StartDate,Status
9832.01,she,409766,2033-02-27,10.86,1024954562747,Personal,Annually,2020-03-21,Defaulted
77561.55,politics,439595,2046-01-11,9.76,6301260434060,Auto,Monthly,2020-06-24,Active
59678.43,authority,418240,2051-11-04,12.98,8917491238579,Mortgage,Quarterly,2024-02-07,Closed
77660.39,until,434558,2032-03-29,3.77,1236432387817,Mortgage,Quarterly,2020-06-22,Closed
37720.01,wait,420119,2033-11-24,6.69,5671610387757,Mortgage,Quarterly,2024-06-12,Defaulted
92757.71,explain,406142,2051-10-03,13,7379024521130,Auto,Annually,2022-07-08,Closed
17138.03,always,433606,2027-09-22,9.26,8761596607584,Auto,Quarterly,2021-04-07,Defaulted
64010.27,leave,406091,2047-12-08,5.4,8592851589477,Personal,Quarterly,2023-04-30,Defaulted
31669.99,choice,442376,2051-05-13,13.83,6212274178220,Auto,Monthly,2020-01-29,Defaulted
81827.91,necessary,445808,2029-02-11,10.1,8672470586485,Personal,Annually,2023-07-15,Defaulted
63209.16,phone,447071,2042-03-26,11.71,8535895396868,Mortgage,Annually,2022-08-06,Defaulted
89512.32,both,400493,2050-05-14,5.4,8692131273826,Auto,Monthly,2020-08-02,Active
98950.39,crime,444494,2028-10-19,13.45,7293743476915,Mortgage,Quarterly,2023-04-09,Active
54661.5,support,430670,2034-03-25,9.23,8212246493281,Auto,Annually,2022-01-01,Closed
87034.67,part,447503,2029-04-21,5.22,5169081716980,Personal,Quarterly,2020-03-27,Defaulted
8864.5,how,432611,2032-10-12,4.15,4914175499018,Auto,Quarterly,2020-07-27,Defaulted
39448.44,green,422774,2047-12-25,10.94,2225768730259,Auto,Monthly,2021-05-06,Defaulted
9396.06,number,434478,2046-07-05,14,1688515474603,Auto,Annually,2023-01-04,Closed
19229.17,responsibility,446492,2049-05-19,4.43,6421467387403,Auto,Quarterly,2022-05-19,Defaulted
79564.79,field,432688,2028-07-23,12.69,3340379832986,Auto,Annually,2022-01-05,Active
45223.1,left,407021,2044-08-29,9.14,9357017535127,Personal,Quarterly,2024-07-25,Defaulted
31568.65,a,443919,2038-01-23,13.8,5234362484621,Personal,Quarterly,2022-01-02,Defaulted
71267.83,cause,416864,2031-05-11,6.85,4123863729486,Auto,Annually,2020-04-02,Defaulted
40651.35,stage,404631,2050-09-25,4.33,2446302128716,Personal,Annually,2023-01-27,Defaulted
35173.94,only,432133,2043-06-17,10.93,9303092631961,Personal,Annually,2021-08-29,Active
97056.16,major,422145,2032-05-31,14.03,3956046337117,Auto,Quarterly,2020-10-17,Closed
87847,probably,445501,2043-06-24,9.2,7421263920474,Auto,Quarterly,2022-01-06,Closed
8158.3,brother,417321,2037-06-04,5.37,5223572248516,Auto,Monthly,2020-08-30,Closed
65536.58,throughout,435303,2026-09-16,9.99,1923858329941,Mortgage,Annually,2021-12-20,Closed
51797.27,pattern,424981,2039-10-31,7.03,9523504445470,Auto,Annually,2024-04-04,Defaulted
97393.25,add,408130,2041-06-15,4.15,2040219276871,Auto,Quarterly,2023-09-12,Defaulted
55938.92,age,420171,2031-04-10,9.94,1142664670426,Mortgage,Annually,2022-08-30,Closed
81401.66,often,426992,2029-12-29,5.79,3505050825807,Personal,Annually,2020-04-16,Closed
63728.98,analysis,423948,2029-08-20,14.84,3826659326309,Mortgage,Monthly,2021-04-05,Active
97530.7,but,440031,2039-01-23,10.03,3008963360443,Mortgage,Quarterly,2024-05-06,Defaulted
70601.13,key,406700,2040-05-06,9.95,2896099407095,Auto,Annually,2021-06-07,Defaulted
68716.59,coach,412610,2053-07-12,12.86,7695903708052,Personal,Quarterly,2024-05-02,Defaulted
73395.96,idea,435760,2033-06-08,7.22,5926401338631,Mortgage,Quarterly,2021-08-07,Active
23830.72,each,416895,2048-04-17,2.55,4088099678917,Mortgage,Quarterly,2023-01-10,Defaulted
22535.1,offer,433997,2034-11-22,11.11,5037856698089,Auto,Quarterly,2023-03-17,Closed
20538.6,right,432555,2033-09-05,11.71,1635377326604,Personal,Annually,2020-04-25,Active
88256.97,significant,434773,2043-11-09,5.31,6491493486018,Personal,Quarterly,2021-01-28,Closed
70641.31,so,434963,2029-03-12,3.52,9191340509461,Mortgage,Quarterly,2022-03-23,Closed
88388.47,budget,434539,2041-01-10,4.16,8524165251019,Personal,Annually,2023-05-26,Closed
37951.08,course,422026,2049-10-12,9.53,1288506000861,Auto,Monthly,2020-12-15,Active
76489.01,PM,449749,2037-04-06,5.14,1011513302075,Personal,Monthly,2024-01-10,Active
82203.11,far,422500,2037-01-31,10.32,8068101394117,Mortgage,Monthly,2021-02-27,Closed
59980.98,area,413272,2031-02-28,7.93,6959536206290,Personal,Quarterly,2022-08-18,Active
33896.85,well,445716,2047-07-17,14.22,9396865098746,Mortgage,Annually,2024-02-01,Closed
10964.61,face,449899,2045-04-08,13.56,7990596050377,Personal,Monthly,2024-04-05,Defaulted
84931.24,wear,412690,2052-01-30,14.57,2101292795816,Mortgage,Quarterly,2023-03-10,Closed
46185.95,answer,425476,2026-11-08,8.05,6247343609253,Auto,Annually,2022-04-04,Defaulted
89758.77,small,447458,2052-02-03,7.28,8748517491617,Personal,Monthly,2023-07-24,Active
31222.65,six,401652,2046-12-10,3.47,9320445908164,Personal,Quarterly,2022-11-13,Closed
53829.68,white,412633,2027-11-07,14.76,1273170715865,Mortgage,Annually,2023-11-21,Closed
36367.36,actually,421450,2052-05-09,10.56,3746174822168,Personal,Monthly,2023-01-12,Defaulted
46150.86,wife,415979,2037-07-01,11.44,8616325825502,Mortgage,Monthly,2021-09-26,Active
39770.81,field,410000,2029-02-22,5.83,8305480666566,Personal,Monthly,2023-12-09,Defaulted
99449.49,political,433090,2030-11-30,12.99,7594478525501,Personal,Quarterly,2021-10-24,Active
30994.1,me,447184,2041-02-04,8.94,8192840331742,Auto,Quarterly,2024-04-13,Closed
26217.33,beyond,440344,2028-08-18,3.97,8890132882717,Auto,Quarterly,2020-05-14,Defaulted
93495.57,wish,426192,2031-11-22,14,3617141868728,Personal,Monthly,2023-06-14,Defaulted
46054.71,event,419337,2033-12-30,12.15,6510974122213,Mortgage,Annually,2024-02-22,Closed
91956.3,evening,420283,2037-10-09,13.76,1430743263465,Auto,Quarterly,2023-02-23,Closed
17605.54,reality,426802,2050-11-16,12.04,7731985485801,Mortgage,Quarterly,2023-01-21,Closed
25484.91,side,443998,2034-02-15,14.05,1961586485366,Mortgage,Annually,2022-04-29,Closed
95342,actually,435602,2027-04-17,4.49,8089448784248,Mortgage,Quarterly,2021-07-27,Defaulted
34175.6,sound,436090,2039-04-16,7.86,8584065384336,Personal,Monthly,2020-05-02,Active
71503.99,find,417225,2031-02-12,10.13,4013230861808,Auto,Quarterly,2021-11-19,Closed
73817.79,sea,444285,2031-11-26,5.37,9701313965692,Mortgage,Quarterly,2023-03-27,Active
12699.94,sound,404558,2044-02-04,5.8,7398780809125,Mortgage,Monthly,2021-08-02,Active
40422.97,analysis,420388,2048-04-08,13.51,3861933212884,Personal,Annually,2020-10-18,Closed
47688.27,night,410263,2044-05-15,8.22,3070042723519,Mortgage,Monthly,2023-04-20,Closed
89894.51,carry,417369,2048-01-03,5.3,6215748573131,Mortgage,Annually,2023-10-04,Defaulted
60440.3,bring,421949,2027-08-22,7.21,7354290861327,Mortgage,Annually,2023-12-30,Active
84243.2,both,423458,2032-03-22,14.57,2996600238207,Auto,Monthly,2021-05-27,Closed
38334.07,level,419452,2032-11-19,9.56,5372832031181,Personal,Monthly,2023-04-30,Closed
56588.19,make,422524,2040-09-11,11.16,5989890634149,Personal,Monthly,2021-07-06,Active
84163.41,author,443192,2038-02-10,10.85,3522527152233,Mortgage,Quarterly,2022-10-30,Defaulted
63266.53,game,407557,2044-02-17,12.41,6133371695620,Personal,Monthly,2020-06-26,Active
75426.52,outside,416979,2045-08-29,12.63,9606979981534,Personal,Monthly,2023-10-20,Active
79393.78,into,447360,2029-01-03,6.55,5285681348841,Auto,Quarterly,2021-09-26,Defaulted
78204.6,process,403977,2036-12-26,2.7,3816774363792,Auto,Quarterly,2022-05-12,Active
35165.76,write,442035,2031-09-10,8.7,6035710813850,Mortgage,Annually,2022-06-23,Closed
51339.42,better,442469,2044-08-19,7.92,8457247937651,Personal,Annually,2021-04-23,Defaulted
83681.99,behavior,404700,2053-11-09,6.4,4689277120331,Mortgage,Quarterly,2022-12-10,Defaulted
26571.78,author,414415,2032-05-21,7.74,4856081009035,Mortgage,Annually,2023-07-09,Active
88234.87,training,404245,2026-04-01,2.94,4064949448611,Personal,Monthly,2023-02-22,Active
97871.34,main,435832,2046-11-13,2.67,9187207955893,Mortgage,Annually,2021-01-01,Active
88271.73,risk,445355,2027-05-17,13.12,9861122548176,Auto,Annually,2024-01-15,Defaulted
53754.34,financial,409586,2035-06-01,10.74,6173541593662,Personal,Monthly,2021-05-19,Closed
43731.73,night,446505,2043-11-05,9.22,7140311362750,Personal,Quarterly,2020-05-16,Closed
27348.46,short,414149,2037-11-18,10.28,8804508530990,Auto,Monthly,2020-12-08,Active
65113.59,performance,432607,2043-03-22,7.93,6804066630741,Auto,Quarterly,2021-04-25,Defaulted
55022.84,operation,405990,2031-12-07,7.27,6443008478060,Auto,Quarterly,2022-10-20,Active
26915.93,beautiful,406880,2043-03-12,11.77,9184732847224,Personal,Quarterly,2021-02-01,Closed
21240.01,talk,443344,2048-12-27,14.04,9301987950286,Mortgage,Monthly,2021-06-26,Defaulted
25347.23,marriage,443874,2034-10-17,10.19,6181667778765,Personal,Annually,2024-07-24,Active
81008.8,north,418745,2045-05-26,11.49,1421845460058,Auto,Quarterly,2024-03-04,Closed
79207.43,future,408514,2043-12-10,7.16,7065362549216,Personal,Monthly,2023-08-12,Closed
43300.21,concern,413483,2027-07-13,7.69,2287761027732,Personal,Monthly,2024-02-05,Active
62632.04,number,436472,2038-05-17,12.39,5284002250923,Mortgage,Quarterly,2023-01-15,Defaulted
44493.76,one,428115,2036-12-03,2.55,8542123604723,Mortgage,Quarterly,2021-10-17,Defaulted
92216.42,say,423878,2045-04-25,6.4,1480587618759,Personal,Annually,2023-09-09,Defaulted
80196.6,respond,407859,2037-07-01,12.27,7026093584707,Personal,Quarterly,2020-08-21,Defaulted
64664.67,thought,408048,2041-08-05,6.85,5644292034190,Personal,Quarterly,2022-05-13,Closed
50905.75,project,417098,2035-06-07,13.92,1191425622453,Mortgage,Quarterly,2020-02-29,Closed
40785.14,create,445965,2037-03-02,2.56,7596146424048,Auto,Monthly,2024-06-28,Active
82154.84,carry,405936,2050-06-30,8.26,6139523227783,Mortgage,Monthly,2020-01-11,Closed
67574.83,reveal,407284,2041-02-28,3.13,3991810737642,Auto,Quarterly,2024-04-17,Active
34999.41,north,415082,2033-08-23,5.67,4241037218025,Personal,Monthly,2022-09-20,Active
49715.03,scene,401488,2040-11-01,8.32,4604431152316,Personal,Quarterly,2021-01-04,Closed
99444,recognize,421057,2029-07-24,10.71,2355877610047,Personal,Monthly,2023-07-09,Active
27135.6,without,425078,2043-06-28,8.56,6509872669175,Personal,Annually,2022-06-13,Defaulted
79096.84,truth,431849,2041-04-20,2.72,8858191952457,Mortgage,Quarterly,2021-07-16,Defaulted
45694.82,purpose,437152,2047-04-28,3.72,8477188883695,Mortgage,Quarterly,2022-04-29,Closed
11691.71,professor,427728,2026-04-18,12.12,2122582278143,Mortgage,Monthly,2023-03-10,Active
37653.24,free,432886,2036-09-17,2.99,1605968807927,Mortgage,Monthly,2023-02-03,Closed
62609.12,activity,403946,2045-04-02,3.29,4428274445939,Personal,Monthly,2021-12-31,Active
18649.23,per,420479,2033-03-06,5.52,5985077760683,Auto,Annually,2022-07-30,Active
43467.03,program,411260,2039-09-20,5.85,4904134397588,Personal,Annually,2020-08-24,Defaulted
88223.42,wind,444698,2039-05-07,3.26,6668061167282,Personal,Quarterly,2021-03-02,Closed
17951.77,energy,447216,2053-02-26,8.5,4906443925290,Auto,Monthly,2023-02-23,Defaulted
85697.4,into,448080,2054-07-28,4.44,9235676485937,Mortgage,Annually,2023-09-25,Active
54164.01,set,409959,2049-11-13,4.66,7078493243097,Personal,Quarterly,2023-07-14,Closed
87328.55,shake,421112,2037-10-23,11.14,1009664928002,Mortgage,Monthly,2021-09-08,Closed
66179.98,brother,430726,2034-10-06,6.19,5050242671615,Personal,Quarterly,2023-08-02,Closed
96384.13,bad,406757,2026-12-07,6.54,1275988732730,Mortgage,Annually,2022-12-04,Closed
95309.8,end,418677,2030-12-09,8.22,9051440683235,Personal,Monthly,2023-04-18,Defaulted
20732.73,ok,440317,2039-05-02,11.07,8585597358097,Personal,Quarterly,2024-05-28,Closed
88714.81,note,442076,2047-04-07,13.83,8913775642801,Mortgage,Quarterly,2020-05-10,Closed
59435.4,teach,407333,2052-01-24,13.93,3986259911044,Mortgage,Annually,2022-04-17,Active
42238.53,loss,442610,2042-05-19,12.55,8621133250632,Auto,Annually,2024-04-03,Closed
77746.33,feel,425865,2037-01-08,5.15,3659489637723,Auto,Annually,2022-09-03,Defaulted
44454.66,type,447359,2029-10-05,14.32,4066122925448,Personal,Monthly,2020-04-26,Active
48366.05,discuss,426176,2047-05-18,5.43,4591142144943,Auto,Monthly,2020-08-25,Closed
16395.32,dog,410393,2030-12-10,11.7,7413209287154,Auto,Monthly,2021-01-17,Closed
71076.05,various,417600,2038-05-14,6.34,4864102808958,Personal,Annually,2022-10-28,Closed
74556.25,professional,420822,2033-06-03,8.74,5358009356903,Mortgage,Annually,2021-01-16,Closed
66415.12,generation,447063,2027-02-15,5.45,9076964815677,Auto,Annually,2024-02-25,Defaulted
94717.02,source,412518,2038-07-07,8.01,8683141823277,Personal,Monthly,2023-11-02,Defaulted
75149.45,rock,448524,2043-03-02,7.86,1254269118640,Mortgage,Annually,2021-05-13,Active
39337.51,wrong,447205,2039-08-23,7.86,4156484188212,Mortgage,Annually,2020-07-13,Defaulted
8713.96,but,418596,2031-03-14,13.65,2414845682234,Auto,Monthly,2024-01-06,Defaulted
5041.68,bank,436332,2043-06-02,7.75,6739752227054,Personal,Monthly,2024-04-13,Active
90379.59,edge,429295,2028-03-22,12.55,4717974372650,Mortgage,Annually,2023-06-14,Defaulted
40262.43,discussion,434042,2038-09-20,9.42,6987486308384,Auto,Monthly,2020-08-04,Closed
33551.15,though,431876,2028-03-30,13.87,1760794758126,Auto,Quarterly,2022-01-11,Active
86532.23,start,429568,2036-04-27,6.75,8052768075359,Auto,Monthly,2024-03-29,Closed
84009.6,green,417397,2025-12-14,11.77,9544798720763,Personal,Monthly,2023-06-28,Active
22984.34,since,446948,2026-06-23,14.93,8026725460842,Mortgage,Quarterly,2023-05-15,Active
82218.74,evidence,412481,2050-06-29,8.7,6505536025055,Personal,Monthly,2023-11-26,Active
74699.06,land,438877,2045-02-17,11.45,5360641104793,Auto,Quarterly,2022-01-13,Defaulted
83092.05,bag,430008,2042-03-03,4.4,7584562282798,Auto,Annually,2020-03-17,Defaulted
26584.41,base,426730,2037-09-24,12.28,3474071010616,Personal,Annually,2020-04-13,Active
31567.62,wish,438118,2047-08-03,11.81,1760453761621,Auto,Monthly,2021-01-06,Closed
62289.28,final,402885,2036-11-09,12.51,9260359929439,Auto,Quarterly,2020-07-11,Defaulted
63476.79,yet,430534,2038-03-09,6.01,8894527986876,Mortgage,Annually,2021-06-29,Active
22974.91,house,404771,2041-11-21,6.17,8655031635301,Auto,Annually,2022-06-21,Defaulted
47708.79,station,419662,2046-01-31,8.33,7608892395744,Auto,Annually,2020-06-27,Active
70927.58,nation,438049,2030-09-04,7.38,7660220106574,Auto,Quarterly,2023-07-12,Active
90976.69,win,425661,2029-06-14,3.35,4574172361509,Mortgage,Monthly,2022-05-29,Active
97592.29,easy,402470,2036-10-10,14.96,3385389448832,Auto,Monthly,2022-06-20,Active
21196.23,avoid,420773,2036-11-09,6.04,3020199628436,Auto,Quarterly,2022-01-03,Defaulted
87623.2,staff,422185,2035-05-16,13.55,6857264941809,Personal,Annually,2024-04-06,Active
35188.6,cold,439179,2043-08-27,12.42,8219798074584,Mortgage,Annually,2023-04-05,Active
21016.07,whole,413556,2030-05-24,5.31,4142820536326,Mortgage,Annually,2023-08-28,Defaulted
13276.48,to,403626,2031-08-19,12.96,3997389071006,Auto,Monthly,2022-05-23,Closed
67018.73,experience,409149,2026-10-11,10.91,3379979585439,Mortgage,Quarterly,2024-01-12,Closed
29776.34,card,440806,2048-09-01,9.13,2026629513264,Personal,Quarterly,2023-05-06,Defaulted
53029.01,necessary,429162,2052-10-10,13.38,4140741137553,Auto,Annually,2023-11-12,Active
58256.35,so,408739,2028-10-09,13.67,7518618335999,Auto,Quarterly,2022-06-25,Active
50397.62,six,436775,2052-08-03,13.89,5260714739632,Auto,Quarterly,2020-11-17,Closed
94349.82,scene,433554,2030-07-20,4.67,4299930339075,Personal,Monthly,2021-09-18,Closed
43805.19,improve,405075,2039-05-02,4.17,4661012785059,Auto,Annually,2023-02-25,Closed
62747.17,outside,436080,2047-05-10,2.59,8776684794792,Mortgage,Quarterly,2023-04-16,Defaulted
32545.79,entire,435944,2031-03-07,13.23,4963454051708,Mortgage,Monthly,2022-10-31,Closed
72941.19,buy,441578,2029-08-17,13.69,3008166996590,Auto,Annually,2020-08-23,Active
27824.71,college,426933,2038-10-16,6.42,1160543092005,Auto,Monthly,2020-02-29,Defaulted
29189.55,daughter,426117,2031-07-11,10.17,9889296270116,Personal,Annually,2023-12-25,Closed
77923.32,apply,433373,2030-03-19,2.95,4551548296508,Personal,Monthly,2024-05-30,Closed
79954.34,to,401762,2029-12-03,10.58,9758071691999,Personal,Monthly,2024-07-01,Defaulted
42624.63,another,432561,2031-08-06,12.05,3203435164020,Auto,Annually,2023-06-14,Active
38451.54,argue,436668,2027-02-10,8.96,6597992829145,Auto,Quarterly,2024-05-10,Active
79376.73,but,440488,2050-08-11,10.61,7037223025201,Mortgage,Annually,2022-02-04,Active
88587.43,game,443693,2045-09-24,4.39,5648181643548,Auto,Annually,2022-12-26,Defaulted
16184.02,most,428156,2042-10-14,11.15,1078350007719,Mortgage,Annually,2020-12-19,Closed
78692.52,true,423353,2039-03-19,10.22,5956094386714,Auto,Quarterly,2021-06-08,Defaulted
14124.96,stop,403404,2039-10-30,9.44,5346690399149,Personal,Quarterly,2022-09-16,Active
14526.06,forward,422733,2034-01-10,3.84,9758455863915,Mortgage,Monthly,2020-11-10,Active
83364.03,past,436388,2028-07-03,12.23,1073014071953,Auto,Quarterly,2022-07-29,Active
85922.95,much,417338,2049-03-02,10.99,8035852518703,Mortgage,Annually,2021-05-26,Defaulted
26945.66,of,422512,2038-01-16,13.91,7190301082411,Personal,Annually,2020-12-28,Closed
24392.69,simple,425003,2049-01-14,5.87,5973197297019,Auto,Monthly,2020-02-02,Active
49890.15,middle,421594,2028-12-28,2.96,3509573128321,Auto,Annually,2022-04-05,Active
37001.92,company,419643,2035-05-26,4.18,2187808092891,Personal,Quarterly,2022-06-06,Closed
80840.37,daughter,416458,2048-02-15,10.6,8445640227510,Personal,Monthly,2023-04-30,Active
94087.89,side,435324,2042-06-15,7.27,4250897794083,Mortgage,Quarterly,2022-11-09,Defaulted
54205.7,morning,404666,2040-05-12,9.22,4884551798860,Personal,Annually,2022-03-22,Defaulted
48959.33,four,411389,2028-01-22,6.42,2960232498937,Mortgage,Monthly,2023-11-11,Closed
30017.7,provide,429741,2039-07-13,14.55,8738713771177,Personal,Quarterly,2023-12-15,Closed
95278.16,brother,445095,2044-09-06,12.11,9909013961824,Personal,Monthly,2020-05-30,Closed
11444.03,wonder,425114,2052-04-08,6.37,1241394680073,Auto,Annually,2022-01-23,Active
7545.3,area,429172,2042-01-26,7.57,1207523652877,Auto,Monthly,2024-06-16,Defaulted
96529.46,house,427747,2046-04-10,11.75,3526417414586,Auto,Monthly,2020-05-29,Defaulted
41425.51,face,433744,2040-03-31,11.2,5257565705552,Personal,Annually,2024-07-25,Defaulted
18492.53,particular,408339,2045-03-24,9.34,4874272754237,Personal,Quarterly,2022-06-18,Defaulted
68697.81,me,429059,2047-06-03,4.12,9828944204506,Mortgage,Monthly,2023-02-20,Defaulted
37172.86,minute,428977,2026-07-28,14.11,5222009512467,Personal,Quarterly,2020-02-11,Defaulted
26709.32,again,411792,2029-11-11,11.08,4317806944836,Mortgage,Monthly,2024-02-18,Closed
75159.69,skill,446477,2053-06-20,14.28,7579147026149,Auto,Monthly,2020-08-21,Active
35571.13,north,430374,2033-10-14,3.84,9536602811601,Auto,Annually,2023-12-23,Closed
29949.92,deal,418064,2039-08-12,13.07,9828654547497,Personal,Quarterly,2021-01-28,Defaulted
97512.58,word,414802,2032-12-09,14.15,5748504113318,Personal,Quarterly,2021-10-18,Active
40542.1,nearly,428303,2039-09-03,8.76,9706849142319,Personal,Quarterly,2020-01-19,Defaulted
42987.92,happy,439888,2051-01-22,12.69,8966514161959,Personal,Quarterly,2021-11-06,Closed
59591.97,unit,424986,2026-11-17,5.96,4441044311046,Mortgage,Annually,2021-11-21,Active
27664.41,amount,411494,2027-02-04,12.63,3357417170151,Mortgage,Monthly,2021-08-04,Defaulted
92784.28,tend,443487,2035-05-15,6.19,5961540396542,Auto,Monthly,2022-05-30,Defaulted
22528.92,few,439955,2042-01-04,2.5,1456815633245,Mortgage,Monthly,2021-06-03,Active
46932.32,high,404380,2046-12-17,11.66,4726499343303,Personal,Monthly,2020-04-04,Active
87263.51,west,447715,2047-11-25,6.46,6987840934700,Mortgage,Annually,2022-07-22,Defaulted
57885.6,conference,438522,2053-03-10,12.11,4319000031909,Personal,Annually,2024-02-29,Closed
14927.69,the,448344,2042-01-03,3.75,2096085418765,Personal,Quarterly,2021-07-25,Defaulted
35655.29,area,443565,2048-03-09,7.61,2052822008418,Mortgage,Annually,2023-10-11,Active
29941.17,plan,433713,2028-08-20,3.47,6738902988507,Auto,Quarterly,2021-05-11,Closed
93533.94,choice,428139,2026-07-30,3.06,8212713702776,Personal,Annually,2022-06-09,Active
24701.55,thank,413634,2028-09-15,7.61,3037514496319,Auto,Annually,2020-04-22,Active
48438.94,condition,410683,2052-03-13,4.45,4877770658703,Auto,Annually,2023-09-10,Active
14071.33,four,435309,2039-05-29,11.01,7830122354868,Personal,Annually,2023-04-10,Defaulted
31824.47,light,410236,2043-04-07,11.72,6150782363048,Mortgage,Annually,2021-07-16,Defaulted
72737.34,kind,419236,2043-03-05,13.92,8834845150206,Personal,Quarterly,2020-08-06,Active
